START
P	rbrbrj
1480573,LINACC,0.25,0.13,-0.04
1480581,STAB,1480589,GYRO,-0.06,-0.11,0.03
1480591,ROT,0.08,-0.01,-0.99,0.07
1480594,GAMEROT,0.09,-0.16,-0.98,0.06
1480600,ACCEL,1.72,-1.27,-9.54
1480603,MAGCAL,3.06,10.94,49.50
1480621,GRAV,1.45,-1.34,-9.59
1480623,LINACC,0.28,0.08,0.05
1480625,ACCEL,1.57,-1.27,-9.61
1480629,GYRO,-0.06,-0.21,0.01
1480631,ROT,0.08,-0.01,-0.99,0.07
1480634,GAMEROT,0.09,-0.16,-0.98,0.05
1480640,STAB,1480643,MAGCAL,2.44,10.94,49.69
1480652,ACCEL,1.49,-1.42,-9.69
1480669,GYRO,-0.20,-0.28,-0.21
1480671,ROT,0.07,-0.00,-1.00,0.06
1480674,GAMEROT,0.08,-0.16,-0.98,0.05
1480679,GRAV,1.30,-1.25,-9.63
1480681,LINACC,0.19,-0.17,-0.07
1480684,ACCEL,1.30,-1.23,-9.69
1480686,MAGCAL,3.00,9.50,49.56
1480692,STAB,1480709,GYRO,-0.04,-0.16,-0.14
1480711,ROT,0.07,0.00,-1.00,0.06
1480714,GAMEROT,0.08,-0.16,-0.98,0.05
1480719,ACCEL,1.11,-1.07,-10.07
1480723,MAGCAL,2.12,9.81,49.25
1480731,GRAV,1.23,-1.21,-9.65
1480733,LINACC,-0.12,0.14,-0.43
1480741,STAB,1480745,ACCEL,1.15,-1.00,-10.07
1480749,GYRO,0.04,0.04,0.05
1480751,ROT,0.07,0.00,-1.00,0.06
1480754,GAMEROT,0.07,-0.16,-0.98,0.05
1480761,MAGCAL,2.50,10.94,49.13
1480776,ACCEL,1.34,-1.19,-9.69
1480782,GRAV,1.23,-1.22,-9.64
1480784,LINACC,0.11,0.03,-0.05
1480789,GYRO,0.00,-0.01,0.11
1480791,ROT,0.07,-0.00,-1.00,0.06
1480794,GAMEROT,0.08,-0.16,-0.98,0.05
1480800,STAB,1480803,MAGCAL,3.44,10.69,48.06
1480808,ACCEL,1.42,-1.34,-9.61
1480829,GYRO,-0.09,-0.09,0.04
1480831,ROT,0.07,-0.00,-1.00,0.06
1480834,GAMEROT,0.07,-0.16,-0.98,0.05
1480840,GRAV,1.20,-1.20,-9.65
1480842,LINACC,0.21,-0.14,0.04
1480844,MAGCAL,3.44,10.69,48.06
1480847,ACCEL,1.30,-1.30,-9.85
1480853,STAB,1480870,GYRO,-0.10,-0.08,-0.05
1480872,ROT,0.06,-0.00,-1.00,0.06
1480875,GAMEROT,0.07,-0.16,-0.98,0.05
1480881,ACCEL,1.19,-1.23,-9.89
1480884,MAGCAL,2.81,10.56,49.13
1480891,GRAV,1.16,-1.14,-9.66
1480893,LINACC,0.03,-0.09,-0.22
1480902,STAB,1480904,ACCEL,1.23,-1.00,-9.80
1480910,GYRO,-0.10,-0.14,-0.01
1480912,ROT,0.06,-0.00,-1.00,0.06
1480915,GAMEROT,0.07,-0.16,-0.98,0.05
1480922,MAGCAL,2.94,10.19,50.50
1480932,ACCEL,1.23,-1.04,-9.69
1480941,GRAV,1.09,-1.09,-9.68
