timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,12
697587,-2.19,3.23,8.96,0.03,-0.10,-0.07,28.69,-8.31,-12.06,0.00,-0.02,0.03,-2.20,3.25,8.93,0.98,0.17,0.12,0.04,12
697626,-2.12,3.26,8.89,-0.02,-0.17,-0.16,28.62,-8.00,-12.81,0.05,0.03,-0.05,-2.16,3.23,8.94,0.98,0.17,0.12,0.03,12
697667,-2.04,3.19,9.03,0.01,-0.09,-0.15,29.50,-8.69,-9.44,0.09,-0.03,0.08,-2.13,3.22,8.95,0.98,0.17,0.12,0.03,12
697708,-2.04,3.15,9.04,0.06,0.03,-0.14,29.62,-8.88,-11.19,0.10,-0.07,0.08,-2.14,3.22,8.95,0.98,0.17,0.12,0.03,12
697750,-2.23,3.23,8.92,0.02,0.01,-0.10,28.56,-8.88,-12.44,-0.06,0.00,-0.03,-2.17,3.23,8.95,0.98,0.17,0.12,0.03,12
697787,-2.27,3.19,8.95,0.04,-0.02,-0.07,27.81,-8.44,-11.81,-0.09,-0.04,0.02,-2.18,3.23,8.94,0.98,0.17,0.12,0.02,12
697828,-2.19,3.23,8.92,0.05,-0.01,-0.08,28.00,-8.12,-10.75,-0.00,0.00,-0.02,-2.19,3.23,8.94,0.98,0.17,0.12,0.02,12
697868,-2.19,3.26,8.88,-0.01,0.01,-0.07,28.50,-8.12,-10.69,0.00,0.04,-0.05,-2.20,3.23,8.94,0.98,0.17,0.12,0.02,12
697910,-2.23,3.23,8.92,0.03,0.04,-0.03,29.62,-8.25,-11.62,-0.02,0.00,-0.01,-2.21,3.23,8.93,0.98,0.17,0.12,0.02,12
697948,-2.27,3.26,8.89,-0.01,0.04,-0.04,28.31,-8.69,-11.38,-0.04,0.04,-0.05,-2.23,3.23,8.93,0.98,0.17,0.12,0.02,12
697988,-2.31,3.23,8.89,-0.03,0.03,-0.02,28.56,-8.12,-10.25,-0.06,0.01,-0.04,-2.25,3.22,8.92,0.98,0.17,0.12,0.02,12
698028,-2.19,3.23,8.96,0.02,0.09,-0.04,28.38,-9.25,-10.62,0.08,0.02,0.04,-2.27,3.21,8.92,0.98,0.17,0.12,0.02,12
698070,-2.27,3.19,8.95,0.00,0.12,-0.04,30.56,-7.88,-11.88,-0.02,-0.03,0.03,-2.25,3.22,8.93,0.98,0.17,0.13,0.02,12
698108,-2.38,3.19,8.85,0.02,0.08,-0.09,28.69,-8.00,-12.44,-0.09,-0.04,-0.08,-2.30,3.23,8.92,0.98,0.17,0.13,0.02,12
705818,-6.02,-3.90,6.66,-0.01,0.04,-0.04,30.62,-8.56,-10.75,-0.12,0.15,-0.22,-5.90,-4.05,6.88,0.89,-0.13,0.37,-0.24,12
705858,-5.98,-3.94,6.86,0.04,0.03,-0.02,44.12,15.25,2.00,-0.08,0.11,-0.02,-5.91,-4.05,6.88,0.89,-0.13,0.37,-0.24,12
705898,-5.91,-4.02,6.82,0.01,0.01,-0.05,45.12,15.25,2.81,-0.00,0.03,-0.06,-5.91,-4.05,6.88,0.89,-0.13,0.37,-0.24,12
705938,-5.91,-4.02,6.73,-0.03,0.03,-0.05,42.44,15.06,2.88,-0.00,0.05,-0.13,-5.91,-4.06,6.87,0.89,-0.13,0.37,-0.24,12
705978,-5.98,-4.09,6.86,-0.05,0.03,-0.05,44.38,14.12,1.69,-0.08,-0.00,0.00,-5.91,-4.09,6.85,0.89,-0.13,0.37,-0.24,12
706018,-6.06,-4.13,6.96,-0.00,0.01,0.01,44.75,15.50,3.12,-0.16,-0.03,0.12,-5.91,-4.10,6.84,0.89,-0.13,0.37,-0.24,12
